"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.518675549E2,6.515378212E1,2.569204413E1,3.050642115E1,2.690000057E0,1.440000000E2,3.790092468E0,2.500000000E0
1.528674736E2,6.515375901E1,2.569209013E1,3.079756332E1,2.630000114E0,1.376000061E2,3.790092468E0,2.500000000E0
1.538673435E2,6.515373572E1,2.569213416E1,3.058315133E1,2.640000105E0,1.376999969E2,3.790092468E0,2.500000000E0
1.548682063E2,6.515371398E1,2.569217865E1,3.160171021E1,2.630000114E0,1.358000031E2,3.790092468E0,2.500000000E0
1.558676865E2,6.515369104E1,2.569221739E1,3.167721516E1,2.660000086E0,1.418999939E2,3.790092468E0,2.500000000E0
1.568675725E2,6.515367207E1,2.569226188E1,3.160629595E1,2.650000095E0,1.298000031E2,3.790092468E0,2.500000000E0
1.578675091E2,6.515365158E1,2.569230053E1,3.159860949E1,2.619999886E0,1.391000061E2,3.790092468E0,2.500000000E0
1.588673388E2,6.515363260E1,2.569234178E1,3.091410386E1,2.569999933E0,1.353000031E2,3.790092468E0,2.500000000E0
1.598682350E2,6.515361113E1,2.569237716E1,3.122947669E1,2.589999914E0,1.440000000E2,3.790092468E0,2.500000000E0
1.608681424E2,6.515358925E1,2.569240962E1,3.150328467E1,2.559999943E0,1.453000031E2,3.790092468E0,2.500000000E0
1.618679807E2,6.515357064E1,2.569244961E1,3.188689420E1,2.539999962E0,1.353000031E2,3.790092468E0,2.500000000E0
1.628677937E2,6.515354901E1,2.569248356E1,3.204369773E1,2.559999943E0,1.433000031E2,3.790092468E0,2.500000000E0
1.638679700E2,6.515352829E1,2.569252007E1,3.211303768E1,2.509999990E0,1.411999969E2,3.790092468E0,2.500000000E0
1.648675627E2,6.515350913E1,2.569255930E1,3.257111022E1,2.500000000E0,1.375000000E2,3.790092468E0,2.500000000E0
1.658674281E2,6.515348664E1,2.569259246E1,3.153290660E1,2.519999981E0,1.466999969E2,3.790092468E0,2.500000000E0
1.668672845E2,6.515346566E1,2.569262863E1,3.126063283E1,2.490000010E0,1.398999939E2,3.790092468E0,2.500000000E0
1.678680498E2,6.515344128E1,2.569265854E1,3.103639444E1,2.619999886E0,1.508000031E2,3.790092468E0,2.500000000E0
1.688679573E2,6.515341893E1,2.569269338E1,3.029720201E1,2.549999952E0,1.443999939E2,3.790092468E0,2.500000000E0
1.698678199E2,6.515339748E1,2.569273320E1,2.992403720E1,2.589999914E0,1.381000061E2,3.790092468E0,2.500000000E0
1.708676968E2,6.515337497E1,2.569277373E1,2.943368511E1,2.670000076E0,1.401999969E2,3.790092468E0,2.500000000E0
1.718675642E2,6.515335079E1,2.569281003E1,2.938644860E1,2.630000114E0,1.451000061E2,3.790092468E0,2.500000000E0
1.728674761E2,6.515332494E1,2.569284164E1,2.930393413E1,2.700000048E0,1.511999969E2,3.790092468E0,2.500000000E0
1.738673194E2,6.515330080E1,2.569287750E1,2.938920494E1,2.690000057E0,1.456999969E2,3.790092468E0,2.500000000E0
1.748681291E2,6.515327542E1,2.569290824E1,2.950279633E1,2.740000010E0,1.523000031E2,3.790092468E0,2.500000000E0
1.758677163E2,6.515325149E1,2.569294727E1,2.962365057E1,2.789999962E0,1.436000061E2,3.790092468E0,2.500000000E0
1.768675699E2,6.515322736E1,2.569298296E1,2.951446337E1,2.779999971E0,1.483000031E2,3.790092468E0,2.500000000E0
1.778673676E2,6.515320578E1,2.569302696E1,2.949157932E1,2.809999943E0,1.388000031E2,3.790092468E0,2.500000000E0
1.788682271E2,6.515318149E1,2.569306489E1,2.949732133E1,2.819999933E0,1.460000000E2,3.790092468E0,2.500000000E0
1.798677495E2,6.515315777E1,2.569310618E1,2.964979173E1,2.779999971E0,1.425000000E2,3.790092468E0,2.500000000E0
1.808675278E2,6.515313094E1,2.569313642E1,2.809553672E1,2.849999905E0,1.553000031E2,3.790092468E0,2.500000000E0
1.818674647E2,6.515310853E1,2.569318043E1,2.793141749E1,2.849999905E0,1.396000061E2,3.790092468E0,2.500000000E0
1.828673008E2,6.515308782E1,2.569322496E1,2.772377984E1,2.740000010E0,1.395000000E2,3.790092468E0,2.500000000E0
1.838681862E2,6.515306515E1,2.569326428E1,2.779067874E1,2.740000010E0,1.458999939E2,3.790092468E0,2.500000000E0
1.848680769E2,6.515304307E1,2.569330480E1,2.786001892E1,2.710000038E0,1.418000031E2,3.790092468E0,2.500000000E0
1.858675596E2,6.515302235E1,2.569334628E1,2.788510833E1,2.650000095E0,1.361000061E2,3.790092468E0,2.500000000E0
1.868673949E2,6.515301045E1,2.569338342E1,2.803220527E1,1.799999952E0,1.178000031E2,3.790092468E0,2.500000000E0
1.878673368E2,6.515299773E1,2.569339818E1,2.833610179E1,1.230000019E0,1.481999969E2,3.790092468E0,2.500000000E0
1.888672082E2,6.515298558E1,2.569341396E1,2.820866275E1,1.350000024E0,1.421000061E2,3.790092468E0,2.500000000E0
1.898681345E2,6.515297554E1,2.569343062E1,2.851670912E1,1.070000052E0,1.363000031E2,3.790092468E0,2.500000000E0
1.908678589E2,6.515296721E1,2.569343258E1,2.838652279E1,7.300000191E-1,1.881999969E2,3.790092468E0,2.500000000E0
1.918679085E2,6.515295523E1,2.569344688E1,2.973253343E1,9.599999785E-1,1.738000031E2,3.790092468E0,2.500000000E0
1.928676750E2,6.515294460E1,2.569347138E1,3.082781132E1,7.400000095E-1,1.533000031E2,3.790092468E0,2.500000000E0
